source,class,confidence,frame
webcam,toothbrush,0.3742,320
webcam,person,0.9477,321
webcam,person,0.9502,322
webcam,person,0.952,323
webcam,remote,0.4329,323
webcam,person,0.9446,324
webcam,remote,0.2993,324
webcam,person,0.9485,325
webcam,cell phone,0.2521,325
webcam,person,0.9472,326
webcam,cell phone,0.2765,326
webcam,person,0.9483,327
webcam,person,0.9348,328
webcam,cell phone,0.2518,328
webcam,person,0.9392,329
webcam,cell phone,0.2753,329
webcam,person,0.9514,330
webcam,person,0.315,330
webcam,person,0.9401,331
webcam,person,0.3411,331
webcam,person,0.9172,332
webcam,cell phone,0.3994,332
webcam,person,0.9215,333
webcam,person,0.4011,333
webcam,person,0.9169,334
webcam,person,0.9445,335
webcam,person,0.9416,336
webcam,person,0.9346,337
webcam,person,0.8777,338
webcam,person,0.4625,338
webcam,person,0.3299,338
webcam,person,0.9155,339
webcam,person,0.5021,339
webcam,person,0.917,340
webcam,person,0.2785,340
webcam,person,0.921,341
webcam,person,0.3059,341
webcam,person,0.9145,342
webcam,remote,0.3681,342
webcam,cell phone,0.3092,342
webcam,person,0.927,343
webcam,person,0.9278,344
webcam,person,0.9321,345
webcam,cell phone,0.3872,345
webcam,remote,0.299,345
webcam,person,0.9286,346
webcam,person,0.9346,347
webcam,cell phone,0.3941,347
webcam,person,0.9282,348
webcam,cell phone,0.3075,348
webcam,person,0.9337,349
webcam,person,0.9244,350
webcam,person,0.9389,351
webcam,person,0.941,352
webcam,person,0.9252,353
webcam,person,0.9273,354
webcam,person,0.9009,355
webcam,toothbrush,0.2846,355
webcam,toothbrush,0.2516,355
webcam,person,0.9333,356
webcam,cell phone,0.3694,356
webcam,person,0.9323,357
webcam,cell phone,0.4293,357
webcam,toothbrush,0.3276,357
webcam,person,0.8593,358
webcam,person,0.8757,359
webcam,toothbrush,0.2649,359
webcam,person,0.876,360
webcam,toothbrush,0.3291,360
webcam,toothbrush,0.2626,360
webcam,person,0.9231,361
webcam,toothbrush,0.292,361
webcam,toothbrush,0.2627,361
webcam,person,0.8845,362
webcam,person,0.874,363
webcam,person,0.8979,364
webcam,toothbrush,0.2767,364
webcam,person,0.9088,365
webcam,person,0.9336,366
webcam,person,0.9466,367
webcam,cell phone,0.3162,367
webcam,person,0.9543,368
webcam,toothbrush,0.2532,368
webcam,person,0.9469,369
webcam,toothbrush,0.3095,369
webcam,person,0.9435,370
webcam,cell phone,0.2874,370
webcam,person,0.9322,371
webcam,cell phone,0.4635,371
webcam,person,0.9389,372
webcam,cell phone,0.4466,372
webcam,person,0.9217,373
webcam,cell phone,0.4592,373
webcam,person,0.9375,374
webcam,cell phone,0.5605,374
webcam,person,0.9313,375
webcam,cell phone,0.3866,375
webcam,person,0.9381,376
webcam,cell phone,0.426,376
webcam,person,0.947,377
webcam,toothbrush,0.2505,377
webcam,person,0.9592,378
webcam,cell phone,0.4648,378
webcam,toothbrush,0.3038,378
webcam,person,0.9631,379
webcam,person,0.9574,380
webcam,cell phone,0.2902,380
webcam,person,0.9589,381
webcam,person,0.9612,382
webcam,cup,0.3367,382
webcam,person,0.9586,383
webcam,person,0.9636,384
webcam,remote,0.2656,384
webcam,person,0.9673,385
webcam,person,0.9633,386
webcam,remote,0.5483,386
webcam,person,0.9653,387
webcam,person,0.9633,388
webcam,remote,0.3423,388
webcam,person,0.9663,389
webcam,cell phone,0.3047,389
webcam,person,0.9639,390
webcam,cell phone,0.7291,390
webcam,person,0.964,391
webcam,remote,0.4481,391
webcam,person,0.9625,392
webcam,cell phone,0.2618,392
webcam,person,0.9458,393
webcam,remote,0.5044,393
webcam,remote,0.3044,393
webcam,person,0.9701,394
webcam,person,0.9719,395
webcam,person,0.9686,396
webcam,person,0.967,397
webcam,person,0.9678,398
webcam,person,0.9684,399
webcam,person,0.9693,400
webcam,person,0.9677,401
webcam,person,0.97,402
webcam,person,0.9659,403
webcam,person,0.9646,404
webcam,person,0.9634,405
webcam,person,0.9621,406
webcam,book,0.3907,406
webcam,person,0.9688,407
webcam,book,0.3464,407
webcam,person,0.9586,408
webcam,person,0.9604,409
webcam,remote,0.5796,409
webcam,person,0.9581,410
webcam,remote,0.6197,410
webcam,person,0.9609,411
webcam,remote,0.505,411
webcam,person,0.9611,412
webcam,remote,0.4765,412
webcam,person,0.9533,413
webcam,remote,0.549,413
webcam,person,0.9624,414
webcam,remote,0.5731,414
webcam,person,0.9641,415
webcam,remote,0.5487,415
webcam,person,0.9638,416
webcam,remote,0.6354,416
webcam,person,0.9616,417
webcam,remote,0.7287,417
webcam,person,0.9655,418
webcam,person,0.9629,419
webcam,person,0.9631,420
webcam,person,0.9665,421
webcam,person,0.966,422
webcam,person,0.9593,423
webcam,person,0.9616,424
webcam,person,0.9573,425
webcam,person,0.9612,426
webcam,person,0.95,427
webcam,person,0.9608,428
webcam,person,0.9634,429
webcam,person,0.9673,430
webcam,person,0.9657,431
webcam,person,0.964,432
webcam,person,0.9683,433
webcam,person,0.9569,434
webcam,book,0.4722,434
webcam,person,0.9447,435
webcam,fork,0.6507,435
webcam,book,0.6172,435
webcam,person,0.9362,436
webcam,book,0.866,436
webcam,bird,0.3739,436
webcam,person,0.9545,437
webcam,bird,0.8813,437
webcam,book,0.8665,437
webcam,person,0.9467,438
webcam,bird,0.8833,438
webcam,book,0.8796,438
webcam,person,0.9531,439
webcam,bird,0.9049,439
webcam,book,0.8575,439
webcam,book,0.3293,439
webcam,person,0.9433,440
webcam,bird,0.9265,440
webcam,book,0.7816,440
webcam,person,0.9425,441
webcam,bird,0.9246,441
webcam,book,0.8537,441
webcam,person,0.9444,442
webcam,bird,0.9082,442
webcam,book,0.9036,442
webcam,person,0.9412,443
webcam,bird,0.9251,443
webcam,book,0.9081,443
webcam,person,0.9454,444
webcam,bird,0.9116,444
webcam,book,0.8999,444
webcam,person,0.9428,445
webcam,book,0.903,445
webcam,bird,0.8688,445
webcam,person,0.9443,446
webcam,bird,0.9223,446
webcam,book,0.8282,446
webcam,book,0.3909,446
webcam,person,0.9434,447
webcam,bird,0.9108,447
webcam,book,0.7953,447
webcam,book,0.4551,447
webcam,person,0.9466,448
webcam,bird,0.9023,448
webcam,book,0.8812,448
webcam,person,0.9408,449
webcam,book,0.9138,449
webcam,bird,0.9093,449
webcam,person,0.9069,450
webcam,book,0.9065,450
webcam,bird,0.5771,450
webcam,person,0.939,451
webcam,book,0.6846,451
webcam,person,0.9618,452
webcam,book,0.5869,452
webcam,person,0.9526,453
webcam,person,0.9591,454
webcam,person,0.9656,455
webcam,person,0.9625,456
webcam,person,0.9612,457
webcam,person,0.9615,458
webcam,person,0.9471,459
webcam,person,0.5935,459
webcam,person,0.5818,459
webcam,person,0.3451,459
webcam,person,0.8976,460
webcam,baseball bat,0.2519,460
webcam,person,0.9566,461
webcam,person,0.9554,462
webcam,cell phone,0.5191,462
webcam,person,0.9477,463
webcam,remote,0.6343,463
webcam,person,0.9421,464
webcam,remote,0.8242,464
webcam,person,0.9521,465
webcam,remote,0.6464,465
webcam,mouse,0.3934,465
webcam,person,0.9506,466
webcam,cell phone,0.6702,466
webcam,remote,0.5497,466
webcam,person,0.9521,467
webcam,remote,0.6781,467
webcam,cell phone,0.6013,467
webcam,person,0.9484,468
webcam,remote,0.7123,468
webcam,person,0.9486,469
webcam,cell phone,0.647,469
webcam,person,0.9505,470
webcam,remote,0.6977,470
webcam,cell phone,0.5255,470
webcam,person,0.9554,471
webcam,cell phone,0.724,471
webcam,person,0.959,472
webcam,cell phone,0.8238,472
webcam,person,0.9575,473
webcam,cell phone,0.8104,473
webcam,person,0.9571,474
webcam,cell phone,0.8069,474
webcam,person,0.9583,475
webcam,cell phone,0.8109,475
webcam,person,0.9586,476
webcam,cell phone,0.8261,476
webcam,person,0.9587,477
webcam,cell phone,0.7377,477
webcam,person,0.9595,478
webcam,cell phone,0.5726,478
webcam,remote,0.447,478
webcam,person,0.959,479
webcam,cell phone,0.744,479
webcam,person,0.9435,480
webcam,cell phone,0.6143,480
webcam,remote,0.5039,480
webcam,book,0.2742,480
webcam,person,0.9443,481
webcam,remote,0.5203,481
webcam,cell phone,0.3626,481
webcam,book,0.3246,481
webcam,person,0.9453,482
webcam,remote,0.5465,482
webcam,cell phone,0.3831,482
webcam,book,0.3045,482
webcam,person,0.9469,483
webcam,remote,0.4286,483
webcam,cell phone,0.3609,483
webcam,book,0.2607,483
webcam,person,0.9471,484
webcam,book,0.4965,484
webcam,remote,0.357,484
webcam,person,0.9477,485
webcam,remote,0.4732,485
webcam,book,0.3402,485
webcam,cell phone,0.3267,485
webcam,person,0.9483,486
webcam,remote,0.5378,486
webcam,book,0.3012,486
webcam,cell phone,0.2671,486
webcam,person,0.9465,487
webcam,remote,0.5587,487
webcam,book,0.4198,487
webcam,cell phone,0.3274,487
webcam,person,0.9449,488
webcam,cell phone,0.4581,488
webcam,remote,0.293,488
webcam,person,0.9486,489
webcam,cell phone,0.2765,489
webcam,person,0.9434,490
webcam,book,0.2548,490
webcam,person,0.9406,491
webcam,remote,0.4531,491
webcam,book,0.4329,491
webcam,person,0.9397,492
webcam,book,0.5189,492
webcam,remote,0.2707,492
webcam,person,0.9382,493
webcam,book,0.6711,493
webcam,remote,0.5101,493
webcam,person,0.9404,494
webcam,book,0.7708,494
webcam,person,0.9387,495
webcam,book,0.751,495
webcam,remote,0.319,495
webcam,person,0.9324,496
webcam,book,0.5941,496
webcam,remote,0.4769,496
webcam,person,0.9226,497
webcam,book,0.7369,497
webcam,remote,0.4577,497
webcam,person,0.9138,498
